MAL_ID,Name,Score,Genres,Type,Episodes
51,Tenshi Kinryouku,6.26,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26
53,Ai Yori Aoshi,7.1,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24
54,Appleseed (Movie),7.06,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1
32816,Teekyuu 6 Specials,5.74,"Comedy, Sports, Shounen",Special,2
32817,Teekyuu 7 Specials,6.11,"Comedy, Sports, Shounen",Special,2
57,Beck,8.29,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26
58,Blue Gender,7.02,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26
59,Chobits,7.4,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26
60,Chrno Crusade,7.61,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24
61,D.N.Angel,7.17,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26
32828,Amaama to Inazuma,7.53,"Comedy, Slice of Life, Seinen",TV,12
63,DearS,6.56,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12
62,D.C.: Da Capo,6.71,"Harem, Drama, Magic, Romance",TV,26
32827,B: The Beginning,7.17,"Action, Mystery, Police, Psychological, Supernatural, Thriller",ONA,12
66,Azumanga Daioh,8.02,"Slice of Life, Comedy, School",TV,26
67,Basilisk: Kouga Ninpou Chou,7.54,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24
68,Black Cat (TV),7.32,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23
32836,Senki Zesshou Symphogear AXZ,7.61,"Action, Music, Sci-Fi",TV,13
32829,Nobunaga no Shinobi,7.1,"Comedy, Historical",TV,26
71,Full Metal Panic!,7.6,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24
72,Full Metal Panic? Fumoffu,8.02,"Action, Comedy, School",TV,12
73,Full Metal Panic! The Second Raid,7.92,"Action, Military, Mecha",TV,13
32833,Nudist Beach ni Shuugaku Ryokou de!! The Animation,6.95,Hentai,OVA,2
32843,Senki Zesshou Symphogear XV,8.19,"Action, Music, Sci-Fi",TV,13
76,Mahou Shoujo Lyrical Nanoha,7.41,"Action, Comedy, Drama, Magic, Super Power",TV,13
77,Mahou Shoujo Lyrical Nanoha A's,7.96,"Action, Comedy, Drama, Magic, Super Power",TV,13
74,Gakuen Alice,7.64,"Comedy, School, Shoujo, Super Power",TV,26
79,Shuffle!,7.02,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24
80,Mobile Suit Gundam,7.77,"Action, Military, Sci-Fi, Space, Mecha",TV,43
81,Mobile Suit Gundam: The 08th MS Team,8.01,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12
82,Mobile Suit Gundam 0080: War in the Pocket,7.98,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.75,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1
84,Mobile Suit Gundam 0083: Stardust Memory,7.23,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13
85,Mobile Suit Zeta Gundam,7.9,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50
86,Mobile Suit Gundam ZZ,6.69,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47
87,Mobile Suit Gundam: Char's Counterattack,7.67,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1
88,Mobile Suit Gundam F91,6.61,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1
89,Mobile Suit Victory Gundam,6.79,"Drama, Mecha, Military, Sci-Fi, Space",TV,51
90,Mobile Suit Gundam Wing,7.68,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49
91,Mobile Suit Gundam Wing: Endless Waltz,7.73,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3
92,After War Gundam X,7.35,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39
93,Mobile Suit Gundam SEED,7.74,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50
94,Mobile Suit Gundam SEED Destiny,7.18,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,7.66,"Action, Comedy, School, Shounen",ONA,8
32864,JK to Ero Konbini Tenchou,6.63,Hentai,OVA,6
96,Mobile Fighter G Gundam,7.58,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49
98,Mai-HiME,7.41,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26
32867,Bungou Stray Dogs 2nd Season,8.18,"Action, Mystery, Seinen, Super Power, Supernatural",TV,12
100,Shin Shirayuki-hime Densetsu Prétear,7.16,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13
101,Air,7.28,"Slice of Life, Supernatural, Drama, Romance",TV,12
102,Aishiteruze Baby★★,7.44,"Comedy, Drama, Romance, Shoujo",TV,26
99,Mai-Otome,7.28,"Comedy, Drama, Fantasy, Magic",TV,26
104,Ayashi no Ceres,7.18,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24
32869,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,7.74,"Sports, School, Shounen",Movie,1
106,Hana yori Dango,7.59,"Drama, Romance, School, Shoujo",TV,51
32872,Energy Kyouka!!,6.89,Hentai,OVA,2
32871,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,7.82,"Comedy, Sports, Shounen",Movie,1
109,Bakuretsu Tenshi,6.78,"Adventure, Comedy, Mecha, Sci-Fi",TV,24
32870,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,7.75,"Sports, School, Shounen",Movie,1
111,Corrector Yui,7.07,"Sci-Fi, Adventure, Comedy, Magic",TV,52
32878,ēlDLIVE,6.1,"Action, Sci-Fi, Space, Police, Shounen",TV,12
110,Chuuka Ichiban!,7.59,"Action, Comedy, Drama, Shounen",TV,52
114,Sakigake!! Cromartie Koukou,7.89,"Comedy, School, Shounen",TV,26
115,El Hazard: The Alternative World,6.78,"Adventure, Comedy, Fantasy",TV,13
116,El Hazard: The Wanderers,6.92,"Adventure, Comedy, Romance, Fantasy",TV,26
117,El Hazard: The Magnificent World,7.26,"Adventure, Comedy, Romance, Fantasy",OVA,7
32879,Norn9: Norn+Nonet Recap,6.17,"Adventure, Romance, Fantasy, Josei",Special,1
32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,7.07,"Action, Adventure, Fantasy",TV,12
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26
121,Fullmetal Alchemist,8.11,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51
122,Full Moon wo Sagashite,7.94,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52
123,Fushigi Yuugi,7.61,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52
124,Fushigi Yuugi: Eikouden,6.8,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4
125,Futakoi,6.43,"Comedy, Romance, School",TV,13
126,Futakoi Alternative,6.85,"Comedy, Drama, Romance",TV,13
32894,Love Bites,2.61,Horror,ONA,1
119,Final Approach,6.51,"Comedy, Drama, Romance, Slice of Life",TV,13
127,Gate Keepers,6.92,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24
130,Saiyuuki Reload,7.37,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25
32899,Watashi ga Motete Dousunda,6.96,"Harem, Comedy, Romance, School, Shoujo",TV,12
32900,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7.46,"Action, Sci-Fi, Supernatural, Magic",Movie,1
32901,Eromanga-sensei,6.34,"Comedy, Drama, Romance, Ecchi",TV,12
32902,Mahoutsukai no Yome: Hoshi Matsu Hito,8.1,"Slice of Life, Magic, Fantasy, Shounen",OVA,3
133,Green Green,6.15,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12
136,Hunter x Hunter,8.41,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62
137,Hunter x Hunter: Original Video Animation,8.31,"Action, Adventure, Super Power, Shounen",OVA,8
138,Hunter x Hunter: Greed Island,8.18,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,8
139,Hunter x Hunter: Greed Island Final,8.25,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,14
132,GetBackers,7.57,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49
134,Gunslinger Girl,7.39,"Action, Psychological, Military, Drama, Sci-Fi",TV,13
142,Kamikaze Kaitou Jeanne,7.47,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44
135,Hikaru no Go,8.07,"Comedy, Game, Shounen, Supernatural",TV,75
143,Kannazuki no Miko,6.8,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12
145,Kareshi Kanojo no Jijou,7.59,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26
146,Kono Minikuku mo Utsukushii Sekai,6.7,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,12
147,Kimi ga Nozomu Eien,7.17,"Drama, Romance, Slice of Life",TV,14
32915,Durarara!!x2 Ketsu: Dufufufu!!,7.55,"Action, Mystery, Supernatural",Special,1
149,Loveless,6.74,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,12
150,Blood+,7.61,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,50
151,Re: Cutey Honey,7.11,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,3
144,Kanon,7.06,"Drama, Romance, Slice of Life, Supernatural",TV,13
153,Juuni Kokuki,8.02,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45
154,Shaman King,7.75,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,64
155,X/1999,6.57,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,1
32924,Urara Meirochou,7.12,"Slice of Life, Comedy, Fantasy, Seinen",TV,12
157,Mahou Sensei Negima!,6.93,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,26
158,Maria-sama ga Miteru,7.29,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,13
156,X,7.39,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,24
160,"Ima, Soko ni Iru Boku",7.6,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13
161,Peace Maker Kurogane,7.3,"Action, Comedy, Historical, Samurai, Shounen",TV,24
32930,Fairy Tail OVA (2016),7.22,"Comedy, Magic, Ecchi, Fantasy, Shounen",OVA,3
163,Power Stone,6.54,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,26
164,Mononoke Hime,8.66,"Action, Adventure, Fantasy",Movie,1
165,RahXephon,7.38,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,26
166,Samurai 7,7.43,"Historical, Mecha, Samurai, Sci-Fi",TV,26
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,"Comedy, Sports, Drama, School, Shounen",TV,10
32936,Gin no Guardian,6.21,"Adventure, Fantasy",TV,12
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,8.26,"Adventure, Comedy, Parody, Supernatural, Magic, Fantasy",TV,10
170,Slam Dunk,8.55,"Comedy, Drama, School, Shounen, Sports",TV,101
169,Shingetsutan Tsukihime,6.81,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,12
168,s.CRY.ed,7.36,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,26
167,Scrapped Princess,7.37,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,24
174,Tenjou Tenge,6.87,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",TV,24
173,Tactics,7.19,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",TV,25
175,Tokyo Underground,6.59,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,26
177,Tsubasa Chronicle,7.52,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",TV,26
178,Ultra Maniac,7.16,"Comedy, Magic, Romance, School, Shoujo",TV,26
32947,Battery,5.71,"Slice of Life, Sports, Drama",TV,11
180,Vandread,7.16,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13
32949,Kuzu no Honkai,7.12,"Drama, Romance, School, Seinen",TV,12
182,Tenkuu no Escaflowne,7.66,"Adventure, Psychological, Romance, Fantasy, Mecha",TV,26
32951,Rokudenashi Majutsu Koushi to Akashic Records,7.13,"Action, Magic, Fantasy, School",TV,12
181,Vandread: The Second Stage,7.39,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13
185,Initial D First Stage,8.34,"Action, Cars, Drama, Seinen, Sports",TV,26
186,Initial D Second Stage,8.17,"Action, Cars, Drama, Seinen, Sports",TV,13
187,Initial D Third Stage,7.9,"Action, Cars, Sports, Drama, Romance, Seinen",Movie,1
32954,Flying Witch Petit,6.07,"Slice of Life, Comedy, Supernatural",ONA,9
189,Love Hina,7.1,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,24
190,Love Hina Again,7.21,"Comedy, Drama, Ecchi, Romance, Shounen",OVA,3
183,Whistle!,7.39,"School, Shounen, Sports",TV,39
184,Xenosaga The Animation,6.32,"Action, Mecha, Sci-Fi, Shounen, Space",TV,12
32961,Regalia: The Three Sacred Stars,5.96,"Action, Sci-Fi, Mecha",TV,13
194,Macross Zero,7.5,"Adventure, Mecha, Military, Sci-Fi, Shounen",OVA,5
195,Onegai☆Teacher,7.1,"Sci-Fi, Comedy, Drama, Romance, School",TV,12
196,Onegai☆Twins,6.81,"Comedy, Drama, Harem, School, Sci-Fi",TV,12
197,Rizelmine,6.51,"Sci-Fi, Comedy, Romance, Ecchi, School",TV,24
198,Speed Grapher,7.3,"Action, Mystery, Super Power",TV,24
199,Sen to Chihiro no Kamikakushi,8.77,"Adventure, Supernatural, Drama",Movie,1
32962,Occultic;Nine,6.89,"Sci-Fi, Mystery",TV,12
201,Video Girl Ai,7.19,"Comedy, Drama, Ecchi, Romance",OVA,6
202,Wolf's Rain,7.8,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26
200,Tenshi na Konamaiki,7.42,"Comedy, Magic, Romance, Shounen",TV,50
203,Words Worth,6.73,"Adventure, Fantasy, Hentai",OVA,5
205,Samurai Champloo,8.51,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.12,"Action, Adventure, Drama, Magic, Romance, Fantasy",TV,27
207,Lodoss-tou Senki,7.34,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",OVA,13
208,R.O.D: Read or Die,7.62,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",OVA,3
32977,Aggressive Retsuko,7.62,"Music, Slice of Life, Comedy",TV,100
210,Ranma ½,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",TV,161
32979,Flip Flappers,7.63,"Sci-Fi, Adventure, Comedy, Magic",TV,13
212,Project A-Ko,6.85,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",Movie,1
32981,Hand Shakers,5.25,Action,TV,12
211,Pure Mail,6.19,Hentai,OVA,2
32983,Natsume Yuujinchou Go,8.57,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11
209,R.O.D: The TV,7.52,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",TV,26
217,Shin Angel,6.25,"Comedy, Drama, Hentai",OVA,5
218,Kidou Senkan Nadesico,7.49,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",TV,26
219,Kidou Senkan Nadesico: The Prince of Darkness,6.72,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",Movie,1
215,Pia Carrot e Youkoso!! 2 DX,6.2,"Comedy, Romance",OVA,6
221,Mezzo Forte,6.63,"Action, Comedy, Sci-Fi, Hentai",OVA,2
222,Mezzo DSA,6.65,"Action, Adventure, Comedy, Mystery, Sci-Fi",TV,13
223,Dragon Ball,7.97,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.82,"Comedy, Romance",Movie,1
225,Dragon Ball GT,6.49,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",TV,64
226,Elfen Lied,7.47,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",TV,13
32995,Yuri!!! on Ice,7.9,"Comedy, Sports",TV,12
227,FLCL,8.03,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",OVA,6
228,Jigoku Shoujo,7.61,"Mystery, Horror, Psychological, Supernatural",TV,26
32998,91 Days,7.83,"Action, Drama, Historical",TV,12
229,Ninin ga Shinobuden,6.89,"Comedy, Parody, Martial Arts",TV,12
232,Cardcaptor Sakura,8.17,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",TV,70
233,Daa! Daa! Daa!,7.67,"Comedy, Sci-Fi, Shoujo",TV,78
230,Air Master,6.95,"Action, Comedy, Martial Arts, Seinen",TV,27
235,Detective Conan,8.17,"Adventure, Mystery, Comedy, Police, Shounen",TV,1099
33003,Mahou Shoujo Ikusei Keikaku,6.96,"Action, Fantasy, Magic, Supernatural, Thriller",TV,12
237,Koukyoushihen Eureka Seven,8.05,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50
238,Rekka no Honoo,7.34,"Action, Adventure, Martial Arts, Shounen, Super Power",TV,42
239,Gankutsuou,8.13,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24
240,Genshiken,7.63,"Slice of Life, Comedy, Parody",TV,12
241,Girls Bravo: First Season,6.37,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",TV,11
33010,FLCL Progressive,6.34,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",Movie,1
242,Gokusen,7.4,"Slice of Life, Comedy, Drama, School, Josei",TV,13
33012,Island,6.31,"Drama, Sci-Fi",TV,12
245,Great Teacher Onizuka,8.69,"Slice of Life, Comedy, Drama, School, Shounen",TV,43
246,Groove Adventure Rave,7.21,"Adventure, Comedy, Fantasy, Romance, Shounen",TV,51
243,Gravitation,6.92,"Comedy, Music, Romance, Shoujo, Shounen Ai",TV,13
248,Ichigo 100%,6.62,"Comedy, Ecchi, Harem, Romance, Shounen",TV,12
249,InuYasha,7.86,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",TV,167
250,Konjiki no Gash Bell!!,7.55,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",TV,150
33019,Reikenzan: Eichi e no Shikaku,6.86,"Comedy, Magic, Fantasy",TV,12
33018,Katsugeki/Touken Ranbu,6.74,"Action, Historical, Samurai, Fantasy",TV,13
251,Kyou kara Maou!,7.62,"Adventure, Comedy, Demons, Fantasy, Shoujo",TV,78
247,Harukanaru Toki no Naka de: Hachiyou Shou,7.0,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",TV,26
33023,Touken Ranbu: Hanamaru,6.82,"Action, Slice of Life, Comedy, Historical, Drama, Fantasy",TV,12
33024,Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa,6.43,"Action, Sci-Fi, Space, Mecha, School, Seinen",Special,1
257,Ikkitousen,6.39,"Ecchi, Super Power, Martial Arts, School",TV,13
258,Hitsuji no Uta,6.14,"Horror, Drama, Vampire",OVA,4
256,Hoshi no Koe,7.11,"Sci-Fi, Space, Drama, Romance, Mecha",OVA,1
33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.36,"Action, Mystery, Horror, Psychological, School",TV,11
33021,Ragnastrike Angels,4.28,Action,TV,12
260,Happy☆Lesson (TV),6.61,"Comedy, Drama, Harem, Romance, Slice of Life",TV,13
263,Hajime no Ippo,8.77,"Comedy, Sports, Drama, Shounen",TV,75
33032,Drifters: Special Edition,7.64,"Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen",OVA,1
264,Hajime no Ippo: Champion Road,8.26,"Comedy, Shounen, Sports",Special,1
265,Hajime no Ippo: Mashiba vs. Kimura,8.24,"Comedy, Sports, Shounen",OVA,1
267,Gungrave,7.82,"Action, Drama, Sci-Fi, Seinen, Super Power",TV,26
268,Golden Boy,8.04,"Adventure, Comedy, Ecchi",OVA,6
269,Bleach,7.94,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,366
33036,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,7.04,"Comedy, Drama, Romance, School",Movie,1
270,Hellsing,7.49,"Action, Horror, Supernatural, Vampire, Seinen",TV,13
33031,Shakunetsu no Takkyuu Musume,7.07,Sports,TV,12
33041,Bubuki Buranki: Hoshi no Kyojin,6.76,"Action, Sci-Fi, Drama, Mecha",TV,12
273,Mahoutsukai ni Taisetsu na Koto,6.7,"Slice of Life, Drama, Magic, Shounen",TV,12
33037,Tsukiuta. The Animation,6.9,Music,TV,13
276,Mahoromatic: Automatic Maiden,7.14,"Comedy, Ecchi, Military, Romance, Sci-Fi",TV,12
277,Mahoromatic: Motto Utsukushii Mono,7.13,"Military, Sci-Fi, Comedy, Drama, Romance, Ecchi",TV,14
278,Viewtiful Joe,6.74,"Action, Sci-Fi, Comedy, Shounen",TV,51
33047,Fate/Extra: Last Encore,6.29,"Action, Fantasy, Magic",TV,10
33045,Dream Festival!,6.66,Music,ONA,12
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.49,"Action, Fantasy, Magic, Supernatural",Movie,1
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.66,"Action, Supernatural, Magic, Fantasy",Movie,1
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.23,"Action, Drama, Mecha, Sci-Fi, Space",TV,25
283,Akage no Anne,7.79,"Slice of Life, Historical, Drama",TV,50
33046,B-Project: Kodou*Ambitious,6.58,"Music, Shoujo",TV,12
286,B'T X,7.02,"Adventure, Mecha, Sci-Fi, Shounen",TV,25
287,Grappler Baki (TV),7.46,"Action, Sports, Martial Arts, Shounen",TV,24
288,Bakuten Shoot Beyblade,6.77,"Action, Sci-Fi, Adventure, Comedy, Sports, Shounen",TV,51
289,Comic Party,6.58,"Comedy, Drama",TV,13
290,Seikai no Monshou,7.63,"Action, Military, Sci-Fi, Space, Romance",TV,13
291,D.C.S.S: Da Capo Second Season,6.94,"Comedy, Harem, Romance, Supernatural, Drama",TV,26
292,Dear Boys,6.78,"Drama, Shounen, Sports",TV,26
293,Di Gi Charat,6.81,"Comedy, Fantasy, Sci-Fi",TV,16
285,Argento Soma,6.76,"Action, Adventure, Drama, Mecha, Military, Sci-Fi",TV,25
294,Divergence Eve,6.01,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space",TV,13
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,7.62,"Action, Drama, Military, Sci-Fi, Space",OVA,26
297,Grenadier: Hohoemi no Senshi,6.69,"Action, Ecchi, Adventure, Comedy, Shounen",TV,12
