MAL_ID,Name,Score,Genres,Type,Episodes,Studios,Source,Rating,Premiered,Creator
20,Naruto,7.99,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220.0,Studio Pierrot,Manga,PG-13 - Teens 13 or older,Fall 2002,Kishimoto Masashi
21,One Piece,8.72,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,1091.0,Toei Animation,Manga,PG-13 - Teens 13 or older,Fall 1999,Oda Eiichiro
22,Tennis no Ouji-sama,7.85,"Action, Comedy, Sports, School, Shounen",TV,178.0,Trans Arts,Manga,PG-13 - Teens 13 or older,Fall 2001,Konomi Takeshi
23,Ring ni Kakero 1,6.4,"Action, Shounen, Sports",TV,12.0,Toei Animation,Manga,PG - Children,Fall 2004,Kurumada Masami
24,School Rumble,7.89,"Comedy, Romance, School, Shounen",TV,26.0,Studio Comet,Manga,PG-13 - Teens 13 or older,Fall 2004,Kobayashi Jin
25,Sunabouzu,7.37,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24.0,Gonzo,Manga,R - 17+ (violence & profanity),Fall 2004,Usune Masatoshi
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22.0,Madhouse,Original,R+ - Mild Nudity,Spring 2003,Endou Takuji
27,Trinity Blood,7.29,"Action, Supernatural, Vampire",TV,24.0,Gonzo,Light novel,R - 17+ (violence & profanity),Spring 2005,Sunao Yoshida
28,Yakitate!! Japan,7.91,"Comedy, Shounen",TV,69.0,Sunrise,Manga,PG-13 - Teens 13 or older,Fall 2004,Hashiguchi Takashi
29,Zipang,7.48,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26.0,Studio Deen,Manga,PG-13 - Teens 13 or older,Fall 2004,Kawaguchi Kaiji
30,Neon Genesis Evangelion,8.35,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26.0,"Gainax, Tatsunoko Production",Original,PG-13 - Teens 13 or older,Fall 1995,Anno Hideaki
31,Neon Genesis Evangelion: Death & Rebirth,7.47,"Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,"Gainax, Production I.G",Original,R - 17+ (violence & profanity),Spring 1997,Anno Hideaki
32,Neon Genesis Evangelion: The End of Evangelion,8.55,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1.0,"Gainax, Production I.G",Original,R+ - Mild Nudity,Summer 1997,Anno Hideaki
33,Kenpuu Denki Berserk,8.58,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25.0,OLM,Manga,R+ - Mild Nudity,Fall 1997,Miura Kentarou
43,Koukaku Kidoutai,8.27,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1.0,Production I.G,Manga,R+ - Mild Nudity,Fall 1995,Shirow Masamune
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4.0,Studio Deen,Manga,R - 17+ (violence & profanity),Winter 1999,Watsuki Nobuhiro
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94.0,"Gallop, Studio Deen",Manga,PG-13 - Teens 13 or older,Winter 1996,Watsuki Nobuhiro
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,"Samurai, Historical, Drama, Shounen",Movie,1.0,Gallop,Manga,R - 17+ (violence & profanity),Winter 1997,Watsuki Nobuhiro
47,Akira,8.16,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1.0,Tokyo Movie Shinsha,Manga,R+ - Mild Nudity,Summer 1988,Otomo Katsuhiro
48,.hack//Sign,6.95,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26.0,Bee Train,Original,PG-13 - Teens 13 or older,Spring 2002,Arie Yuuki
49,Aa! Megami-sama!,7.29,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5.0,AIC,Manga,PG-13 - Teens 13 or older,Winter 1993,Fujishima Kousuke
50,Aa! Megami-sama! (TV),7.32,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24.0,AIC,Manga,PG-13 - Teens 13 or older,Winter 2005,Fujishima Kousuke
51,Tenshi Kinryouku,6.26,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3.0,Hal Film Maker,Manga,R+ - Mild Nudity,Spring 2000,Yuki Kaori
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26.0,Bones,Manga,PG-13 - Teens 13 or older,Spring 2001,CLAMP
53,Ai Yori Aoshi,7.1,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24.0,J.C.Staff,Manga,PG-13 - Teens 13 or older,Spring 2002,Fumizuki Kou
54,Appleseed (Movie),7.06,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1.0,Digital Frontier,Manga,R - 17+ (violence & profanity),Spring 2004,Shirow Masamune
55,Arc the Lad,6.51,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26.0,Bee Train,Game,R - 17+ (violence & profanity),Spring 1999,Kawasaki Itsurou
56,Avenger,5.86,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13.0,"Bee Train, Xebec",Original,R - 17+ (violence & profanity),Fall 2003,Mashimo Kouichi
57,Beck,8.29,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26.0,Madhouse,Manga,R - 17+ (violence & profanity),Fall 2004,Sakuishi Harold
58,Blue Gender,7.02,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26.0,AIC,Original,R+ - Mild Nudity,Fall 1999,Takahashi Ryousuke
59,Chobits,7.4,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26.0,Madhouse,Manga,PG-13 - Teens 13 or older,Spring 2002,CLAMP
60,Chrno Crusade,7.61,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24.0,Gonzo,Manga,R - 17+ (violence & profanity),Fall 2003,Moriyama Daisuke
61,D.N.Angel,7.17,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26.0,Xebec,Manga,PG-13 - Teens 13 or older,Spring 2003,Sugisaki Yukiru
62,D.C.: Da Capo,6.71,"Harem, Drama, Magic, Romance",TV,26.0,"feel., Zexcs",Visual novel,PG-13 - Teens 13 or older,Summer 2003,Circus
63,DearS,6.56,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12.0,Daume,Manga,R+ - Mild Nudity,Summer 2004,PEACH‐PIT
64,Rozen Maiden,7.41,"Action, Comedy, Drama, Magic, Seinen",TV,12.0,Nomad,Manga,PG-13 - Teens 13 or older,Fall 2004,PEACH‐PIT
65,Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama, Magic, Seinen",TV,12.0,Nomad,Manga,PG-13 - Teens 13 or older,Fall 2005,PEACH‐PIT
66,Azumanga Daioh,8.02,"Slice of Life, Comedy, School",TV,26.0,J.C.Staff,4-koma manga,PG-13 - Teens 13 or older,Spring 2002,Azuma Kiyohiko
67,Basilisk: Kouga Ninpou Chou,7.54,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24.0,Gonzo,Manga,R - 17+ (violence & profanity),Spring 2005,Yamada Fuutarou
68,Black Cat (TV),7.32,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23.0,Gonzo,Manga,PG-13 - Teens 13 or older,Fall 2005,Yabuki Kentarou
69,Cluster Edge,6.29,"Action, Fantasy, Military, Sci-Fi",TV,25.0,Sunrise,Original,PG-13 - Teens 13 or older,Fall 2005,Ikeda Masashi
71,Full Metal Panic!,7.6,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24.0,Gonzo,Light novel,R - 17+ (violence & profanity),Winter 2002,Gatou Shouji
72,Full Metal Panic? Fumoffu,8.02,"Action, Comedy, School",TV,12.0,Kyoto Animation,Light novel,PG-13 - Teens 13 or older,Summer 2003,Gatou Shouji
73,Full Metal Panic! The Second Raid,7.92,"Action, Military, Mecha",TV,13.0,Kyoto Animation,Light novel,R - 17+ (violence & profanity),Summer 2005,Gatou Shouji
74,Gakuen Alice,7.64,"Comedy, School, Shoujo, Super Power",TV,26.0,Group TAC,Manga,G - All Ages,Fall 2004,Higuchi Tachibana
75,Soukyuu no Fafner: Dead Aggressor,7.26,"Action, Drama, Mecha, Military, Sci-Fi",TV,25.0,Xebec,Original,PG-13 - Teens 13 or older,Summer 2004,Habara Nobuyoshi
76,Mahou Shoujo Lyrical Nanoha,7.41,"Action, Comedy, Drama, Magic, Super Power",TV,13.0,Seven Arcs,Original,PG-13 - Teens 13 or older,Fall 2004,Tsuzuki Masaki
77,Mahou Shoujo Lyrical Nanoha A's,7.96,"Action, Comedy, Drama, Magic, Super Power",TV,13.0,Seven Arcs,Original,PG-13 - Teens 13 or older,Fall 2005,Tsuzuki Masaki
79,Shuffle!,7.02,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24.0,Asread,Visual novel,R+ - Mild Nudity,Summer 2005,Navel
80,Mobile Suit Gundam,7.77,"Action, Military, Sci-Fi, Space, Mecha",TV,43.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1979,Tomino Yoshiyuki
81,Mobile Suit Gundam: The 08th MS Team,8.01,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12.0,Sunrise,Original,PG-13 - Teens 13 or older,Winter 1996,Tomino Yoshiyuki
82,Mobile Suit Gundam 0080: War in the Pocket,7.98,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1989,Tomino Yoshiyuki
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.75,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1.0,Sunrise,Original,PG-13 - Teens 13 or older,Summer 1998,Tomino Yoshiyuki
84,Mobile Suit Gundam 0083: Stardust Memory,7.23,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1991,Tomino Yoshiyuki
85,Mobile Suit Zeta Gundam,7.9,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1985,Yatate Hajime
86,Mobile Suit Gundam ZZ,6.69,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1986,Tomino Yoshiyuki
87,Mobile Suit Gundam: Char's Counterattack,7.67,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1.0,"Sunrise, Studio Hibari",Novel,PG-13 - Teens 13 or older,Spring 1988,Tomino Yoshiyuki
88,Mobile Suit Gundam F91,6.61,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1991,Tomino Yoshiyuki
89,Mobile Suit Victory Gundam,6.79,"Drama, Mecha, Military, Sci-Fi, Space",TV,51.0,"Sunrise, Studio Deen",Original,PG-13 - Teens 13 or older,Spring 1993,Yatate Hajime
90,Mobile Suit Gundam Wing,7.68,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1995,Tomino Yoshiyuki
91,Mobile Suit Gundam Wing: Endless Waltz,7.73,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3.0,Sunrise,Original,PG-13 - Teens 13 or older,Winter 1997,Tomino Yoshiyuki
92,After War Gundam X,7.35,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1996,Yatate Hajime
93,Mobile Suit Gundam SEED,7.74,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50.0,Sunrise,Original,R - 17+ (violence & profanity),Fall 2002,Tomino Yoshiyuki
94,Mobile Suit Gundam SEED Destiny,7.18,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50.0,Sunrise,Original,R - 17+ (violence & profanity),Fall 2004,Tomino Yoshiyuki
95,Turn A Gundam,7.77,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50.0,"Sunrise, Nakamura Production",Original,PG-13 - Teens 13 or older,Spring 1999,Tomino Yoshiyuki
96,Mobile Fighter G Gundam,7.58,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49.0,Sunrise,Original,PG-13 - Teens 13 or older,Spring 1994,Yatate Hajime
97,Last Exile,7.79,"Action, Sci-Fi, Adventure",TV,26.0,Gonzo,Original,PG-13 - Teens 13 or older,Spring 2003,Gonzo
98,Mai-HiME,7.41,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26.0,Sunrise,Original,PG-13 - Teens 13 or older,Fall 2004,Yatate Hajime
99,Mai-Otome,7.28,"Comedy, Drama, Fantasy, Magic",TV,26.0,Sunrise,Original,PG-13 - Teens 13 or older,Fall 2005,Yatate Hajime
100,Shin Shirayuki-hime Densetsu Prétear,7.16,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13.0,Hal Film Maker,Manga,PG-13 - Teens 13 or older,Spring 2001,Satou Junichi
101,Air,7.28,"Slice of Life, Supernatural, Drama, Romance",TV,12.0,Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,Winter 2005,Key
102,Aishiteruze Baby★★,7.44,"Comedy, Drama, Romance, Shoujo",TV,26.0,TMS Entertainment,Manga,PG-13 - Teens 13 or older,Spring 2004,Maki Youko
103,Akazukin Chacha,7.53,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74.0,Gallop,Manga,G - All Ages,Winter 1994,Ayahana Min
104,Ayashi no Ceres,7.18,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24.0,Studio Pierrot,Manga,R - 17+ (violence & profanity),Spring 2000,Watase Yuu
105,Boys Be...,6.4,"Slice of Life, Comedy, Romance, Shounen",TV,13.0,Hal Film Maker,Manga,PG-13 - Teens 13 or older,Spring 2000,Itabashi Masahiro
106,Hana yori Dango,7.59,"Drama, Romance, School, Shoujo",TV,51.0,Toei Animation,Manga,PG-13 - Teens 13 or older,Fall 1996,Kamio Yoko
107,Ou Dorobou Jing,7.18,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13.0,Studio Deen,Manga,PG-13 - Teens 13 or older,Spring 2002,Kumakura Yuuichi
108,Ou Dorobou Jing in Seventh Heaven,7.24,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3.0,Studio Deen,Manga,PG-13 - Teens 13 or older,Winter 2004,Kumakura Yuuichi
109,Bakuretsu Tenshi,6.78,"Adventure, Comedy, Mecha, Sci-Fi",TV,24.0,Gonzo,Original,PG-13 - Teens 13 or older,Spring 2004,Ohata Koichi
110,Chuuka Ichiban!,7.59,"Action, Comedy, Drama, Shounen",TV,52.0,Nippon Animation,Manga,PG-13 - Teens 13 or older,Spring 1997,Ogawa Etsushi
111,Corrector Yui,7.07,"Sci-Fi, Adventure, Comedy, Magic",TV,52.0,Nippon Animation,Original,PG - Children,Spring 1999,Asamiya Kia
112,Chou Henshin Cosprayers,4.81,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8.0,"Imagin, Studio Live",Original,PG-13 - Teens 13 or older,Winter 2004,Arakawa Naruhisa
113,Uchuu no Stellvia,7.36,"Action, Mecha, Romance, Sci-Fi, Space",TV,26.0,Xebec,Original,PG-13 - Teens 13 or older,Spring 2003,Satou Tatsuo
114,Sakigake!! Cromartie Koukou,7.89,"Comedy, School, Shounen",TV,26.0,Production I.G,Manga,PG-13 - Teens 13 or older,Fall 2003,Nonaka Eiji
115,El Hazard: The Alternative World,6.78,"Adventure, Comedy, Fantasy",TV,13.0,AIC,Original,PG-13 - Teens 13 or older,Winter 1998,Kikuchi Yasuhito
116,El Hazard: The Wanderers,6.92,"Adventure, Comedy, Romance, Fantasy",TV,26.0,AIC,Original,PG-13 - Teens 13 or older,Fall 1995,Akiyama Katsuhito
117,El Hazard: The Magnificent World,7.26,"Adventure, Comedy, Romance, Fantasy",OVA,7.0,AIC,Original,PG-13 - Teens 13 or older,Spring 1995,Hayashi Hiroki
118,El Hazard 2: The Magnificent World,6.77,"Adventure, Comedy, Fantasy",OVA,4.0,AIC,Original,PG-13 - Teens 13 or older,Spring 1997,Iwasaki Yoshiaki
119,Final Approach,6.51,"Comedy, Drama, Romance, Slice of Life",TV,13.0,Zexcs,Visual novel,PG-13 - Teens 13 or older,Fall 2004,Yamamoto Takashi
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26.0,Studio Deen,Manga,PG-13 - Teens 13 or older,Summer 2001,Takaya Natsuki
121,Fullmetal Alchemist,8.11,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51.0,Bones,Manga,PG-13 - Teens 13 or older,Fall 2003,Arakawa Hiromu
122,Full Moon wo Sagashite,7.94,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52.0,Studio Deen,Manga,PG-13 - Teens 13 or older,Spring 2002,Tanemura Arina
123,Fushigi Yuugi,7.61,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52.0,Studio Pierrot,Manga,PG-13 - Teens 13 or older,Spring 1995,Watase Yuu
124,Fushigi Yuugi: Eikouden,6.8,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4.0,Studio Pierrot,Manga,PG-13 - Teens 13 or older,Winter 2001,Watase Yuu
125,Futakoi,6.43,"Comedy, Romance, School",TV,13.0,Telecom Animation Film,Original,PG-13 - Teens 13 or older,Fall 2004,Sasaki Mutsumi
126,Futakoi Alternative,6.85,"Comedy, Drama, Romance",TV,13.0,"ufotable, feel., Studio Flag",Original,PG-13 - Teens 13 or older,Spring 2005,Sasaki Mutsumi
127,Gate Keepers,6.92,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24.0,Gonzo,Game,PG-13 - Teens 13 or older,Spring 2000,Chigira Kouichi
128,Gate Keepers 21,6.73,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,6.0,Gonzo,Game,PG-13 - Teens 13 or older,Spring 2002,Yamaguchi Hiroshi
129,Gensoumaden Saiyuuki,7.54,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50.0,Studio Pierrot,Manga,R - 17+ (violence & profanity),Spring 2000,Minekura Kazuya
130,Saiyuuki Reload,7.37,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25.0,Studio Pierrot,Manga,PG-13 - Teens 13 or older,Fall 2003,Minekura Kazuya
131,Saiyuuki Reload Gunlock,7.37,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26.0,Studio Pierrot,Manga,PG-13 - Teens 13 or older,Spring 2004,Minekura Kazuya
132,GetBackers,7.57,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49.0,Studio Deen,Manga,PG-13 - Teens 13 or older,Fall 2002,Ayamine Rando
133,Green Green,6.15,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12.0,Studio Matrix,Visual novel,R+ - Mild Nudity,Summer 2003,Mutou Yuuji
134,Gunslinger Girl,7.39,"Action, Psychological, Military, Drama, Sci-Fi",TV,13.0,Madhouse,Manga,R - 17+ (violence & profanity),Fall 2003,Aida Yuu
135,Hikaru no Go,8.07,"Comedy, Game, Shounen, Supernatural",TV,75.0,Studio Pierrot,Manga,PG-13 - Teens 13 or older,Fall 2001,Hotta Yumi
136,Hunter x Hunter,8.41,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62.0,Nippon Animation,Manga,PG-13 - Teens 13 or older,Fall 1999,Togashi Yoshihiro
137,Hunter x Hunter: Original Video Animation,8.31,"Action, Adventure, Super Power, Shounen",OVA,8.0,Nippon Animation,Manga,PG-13 - Teens 13 or older,Winter 2002,Togashi Yoshihiro
138,Hunter x Hunter: Greed Island,8.18,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,8.0,Nippon Animation,Manga,PG-13 - Teens 13 or older,Winter 2003,Togashi Yoshihiro
139,Hunter x Hunter: Greed Island Final,8.25,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,14.0,Nippon Animation,Manga,PG-13 - Teens 13 or older,Spring 2004,Togashi Yoshihiro
141,Jinki:Extend,6.09,"Mecha, Sci-Fi",TV,12.0,feel.,Manga,R - 17+ (violence & profanity),Winter 2005,Tsunashima Shirou
142,Kamikaze Kaitou Jeanne,7.47,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44.0,Toei Animation,Manga,PG-13 - Teens 13 or older,Winter 1999,Tanemura Arina
143,Kannazuki no Miko,6.8,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12.0,TNK,Manga,PG-13 - Teens 13 or older,Fall 2004,Kaishaku
144,Kanon,7.06,"Drama, Romance, Slice of Life, Supernatural",TV,13.0,Toei Animation,Visual novel,G - All Ages,Winter 2002,Hisaya Naoki
145,Kareshi Kanojo no Jijou,7.59,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26.0,"Gainax, J.C.Staff",Manga,PG-13 - Teens 13 or older,Fall 1998,Tsuda Masami
146,Kono Minikuku mo Utsukushii Sekai,6.7,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,12.0,"Gainax, Shaft",Original,R+ - Mild Nudity,Spring 2004,Saeki Shouji
147,Kimi ga Nozomu Eien,7.17,"Drama, Romance, Slice of Life",TV,14.0,Studio Fantasia,Visual novel,R+ - Mild Nudity,Fall 2003,Age
148,Kita e.: Diamond Dust Drops,6.55,"Drama, Romance, Slice of Life",TV,12.0,Studio Deen,Visual novel,PG-13 - Teens 13 or older,Winter 2004,Hiroi Ouji
149,Loveless,6.74,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,12.0,J.C.Staff,Manga,PG-13 - Teens 13 or older,Spring 2005,Kouga Yun
150,Blood+,7.61,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,50.0,Production I.G,Original,R - 17+ (violence & profanity),Fall 2005,Katsura Asuka
151,Re: Cutey Honey,7.11,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,3.0,"Gainax, Toei Animation",Manga,R+ - Mild Nudity,Summer 2004,Nagai Go
152,Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,24.0,Gonzo,Original,R - 17+ (violence & profanity),Fall 2005,Sabat Christopher
153,Juuni Kokuki,8.02,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45.0,Studio Pierrot,Novel,PG-13 - Teens 13 or older,Spring 2002,Ono Fuyumi
154,Shaman King,7.75,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,64.0,Xebec,Manga,PG-13 - Teens 13 or older,Summer 2001,Takei Hiroyuki
155,X/1999,6.57,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,1.0,Madhouse,Manga,R - 17+ (violence & profanity),Summer 1996,CLAMP
156,X,7.39,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,24.0,Madhouse,Manga,R+ - Mild Nudity,Fall 2001,CLAMP
157,Mahou Sensei Negima!,6.93,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,26.0,Xebec,Manga,PG-13 - Teens 13 or older,Winter 2005,Akamatsu Ken
158,Maria-sama ga Miteru,7.29,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,13.0,Studio Deen,Light novel,PG-13 - Teens 13 or older,Winter 2004,Konno Oyuki
159,Boukyaku no Senritsu,6.28,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,24.0,"Gainax, J.C.Staff",Manga,PG-13 - Teens 13 or older,Spring 2004,Nishikiori Hiroshi
160,"Ima, Soko ni Iru Boku",7.6,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13.0,AIC,Original,R - 17+ (violence & profanity),Fall 1999,Daichi Akitarou
161,Peace Maker Kurogane,7.3,"Action, Comedy, Historical, Samurai, Shounen",TV,24.0,Gonzo,Manga,R - 17+ (violence & profanity),Fall 2003,Chrono Nanae
162,Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,26.0,Madhouse,Manga,G - All Ages,Spring 2002,Koge-Donbo*
163,Power Stone,6.54,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,26.0,Studio Pierrot,Game,PG - Children,Spring 1999,Capcom
164,Mononoke Hime,8.66,"Action, Adventure, Fantasy",Movie,1.0,Studio Ghibli,Original,PG-13 - Teens 13 or older,Summer 1997,Miyazaki Hayao
165,RahXephon,7.38,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,26.0,Bones,Original,PG-13 - Teens 13 or older,Winter 2002,Izubuchi Yutaka
166,Samurai 7,7.43,"Historical, Mecha, Samurai, Sci-Fi",TV,26.0,Gonzo,Other,PG-13 - Teens 13 or older,Summer 2004,Kurosawa Akira
167,Scrapped Princess,7.37,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,24.0,Bones,Light novel,PG-13 - Teens 13 or older,Spring 2003,Sakaki Ichirou
168,s.CRY.ed,7.36,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,26.0,Sunrise,Original,PG-13 - Teens 13 or older,Summer 2001,Yatate Hajime
