anime_id,Name
585,Mimi wo Sumaseba
34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono
37517,Happy Sugar Life
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
49969,Tribe Nine
5114,Fullmetal Alchemist: Brotherhood
34103,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen
48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean
2904,Code Geass: Hangyaku no Lelouch R2
9253,Steins;Gate
28999,Charlotte
31553,Charlotte: Tsuyoimono-tachi
34437,Code Geass: Fukkatsu no Lelouch
35790,Tate no Yuusha no Nariagari
38826,Tenki no Ko
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
42249,Tokyo Revengers
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
44511,Chainsaw Man
47778,Kimetsu no Yaiba: Yuukaku-hen
48569,86 Part 2
48583,Shingeki no Kyojin: The Final Season Part 2
49387,Vinland Saga Season 2
51009,Jujutsu Kaisen 2nd Season
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen
1535,Death Note
1575,Code Geass: Hangyaku no Lelouch
2025,Darker than Black: Kuro no Keiyakusha
6880,Deadman Wonderland
7338,Darker than Black: Kuro no Keiyakusha Gaiden
10620,Mirai Nikki
10863,Steins;Gate: Oukoubakko no Poriomania
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
15809,Hataraku Maou-sama!
16762,Mirai Nikki: Redial
20507,Noragami
22199,Akame ga Kill!
22319,Tokyo Ghoul
26243,Owari no Seraph
28927,Owari no Seraph: Nagoya Kessen-hen
29803,Overlord
30276,One Punch Man
30484,Steins;Gate 0
30503,Noragami Aragoto
32615,Youjo Senki
32729,Orange
34134,One Punch Man 2nd Season
34438,Code Geass: Hangyaku no Lelouch I - Koudou
34439,Code Geass: Hangyaku no Lelouch II - Handou
34440,Code Geass: Hangyaku no Lelouch III - Oudou
36286,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow
37055,Youjo Senki Movie
37349,Goblin Slayer
37520,Dororo
37521,Vinland Saga
37675,Overlord III
37982,Domestic na Kanojo
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
38101,5-toubun no Hanayome
38414,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna
38691,Dr. Stone
39247,Kobayashi-san Chi no Maid Dragon S
39783,5-toubun no Hanayome ∬
40028,Shingeki no Kyojin: The Final Season
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen
40591,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen
40748,Jujutsu Kaisen (TV)
40839,"Kanojo, Okarishimasu"
40852,Dr. Stone: Stone Wars
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.
41457,86
42361,"Ijiranaide, Nagatoro-san"
42897,Horimiya
42963,"Kanojo, Okarishimasu 2nd Season"
43609,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA
46569,Jigokuraku
47194,Summertime Render
47917,Bocchi the Rock!
48561,Jujutsu Kaisen 0 Movie
48580,Vanitas no Karte
48895,Overlord IV
49052,Ao Ashi
49114,Vanitas no Karte Part 2
49596,Blue Lock
49926,Kimetsu no Yaiba: Mugen Ressha-hen
50197,"Ijiranaide, Nagatoro-san 2nd Attack"
50602,Spy x Family Part 2
50608,Tokyo Revengers: Seiya Kessen-hen
51019,Kimetsu no Yaiba: Katanakaji no Sato-hen
51105,NieR:Automata Ver1.1a
51498,Masamune-kun no Revenge R
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai
53050,"Kanojo, Okarishimasu 3rd Season"
53887,Spy x Family Season 2
54918,Tokyo Revengers: Tenjiku-hen
226,Elfen Lied
2001,Tengen Toppa Gurren Lagann
4182,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita
6547,Angel Beats!
9062,Angel Beats! Specials
18397,Shingeki no Kyojin OVA
19815,No Game No Life
20767,Noragami OVA
25781,Shingeki no Kyojin: Kuinaki Sentaku
27899,Tokyo Ghoul √A
30885,Noragami Aragoto OVA
31378,Owari no Seraph: Kyuuketsuki Shahar
31704,One Punch Man: Road to Hero
31772,One Punch Man Specials
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero
33206,Kobayashi-san Chi no Maid Dragon
33487,Masamune-kun no Revenge
34136,Orange: Mirai
34443,Baki
35073,Overlord II
36106,Shingeki no Kyojin: Lost Girls
37430,Tensei shitara Slime Datta Ken
37492,Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio
38668,Dorohedoro
39477,Shingeki no Kyojin Season 3 Specials
39555,Baki: Dai Raitaisai-hen
39576,Goblin Slayer: Goblin's Crown
39705,One Punch Man 2nd Season Specials
40356,Tate no Yuusha no Nariagari Season 2
41084,Made in Abyss: Retsujitsu no Ougonkyou
42940,Hanma Baki: Son of Ogre
43969,Kanojo mo Kanojo
44931,Tonikaku Kawaii: SNS
47160,Goblin Slayer II
48548,5-toubun no Hanayome Movie
48549,Dr. Stone: New World
48926,"Komi-san wa, Comyushou desu."
49893,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu
50612,Dr. Stone: Ryuusui
51318,Hanma Baki: Son of Ogre 2nd Season
51533,Tonikaku Kawaii: Seifuku
54856,Horimiya: Piece
54915,5-toubun no Hanayome∽
55644,Dr. Stone: New World Part 2
357,Bokusatsu Tenshi Dokuro-chan
14131,Girls & Panzer
33674,No Game No Life: Zero
35120,Devilman: Crybaby
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai"
36903,Kengan Ashura
37377,Masamune-kun no Revenge OVA
38793,Tensei shitara Slime Datta Ken OVA
39551,Tensei shitara Slime Datta Ken 2nd Season
40269,Kengan Ashura 2nd Season
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2
50307,Tonikaku Kawaii 2nd Season
50631,"Komi-san wa, Comyushou desu. 2nd Season"
51369,Kengan Ashura Season 2
53040,Kanojo mo Kanojo Season 2
2131,Bokusatsu Tenshi Dokuro-chan 2
6573,Darker than Black: Ryuusei no Gemini
18617,Girls & Panzer Movie
36882,Arifureta Shokugyou de Sekai Saikyou
40507,Arifureta Shokugyou de Sekai Saikyou 2nd Season
45613,Kawaii dake ja Nai Shikimori-san
48413,Hataraku Maou-sama!!
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen
54565,Tensei shitara Slime Datta Ken: Coleus no Yume
55651,Tonikaku Kawaii: Joshikou-hen
34881,Aho Girl
36511,Tokyo Ghoul:re
46971,Arifureta Shokugyou de Sekai Saikyou: Prologue
53200,Hataraku Maou-sama!! 2nd Season
37799,Tokyo Ghoul:re 2nd Season
52619,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou
39617,Yakusoku no Neverland 2nd Season
40357,Tate no Yuusha no Nariagari Season 3
33,Kenpuu Denki Berserk
136,Hunter x Hunter
263,Hajime no Ippo
268,Golden Boy
11061,Hunter x Hunter (2011)
19021,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie
24439,Kekkai Sensen
28171,Shokugeki no Souma
30240,Prison School
31339,Drifters
31741,Magi: Sinbad no Bouken (TV)
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!
33255,Saiki Kusuo no Ψ-nan
33926,Quanzhi Gaoshou
34612,Saiki Kusuo no Ψ-nan 2
34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)
35788,Shokugeki no Souma: San no Sara
36563,Megalo Box
36949,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen
37078,Quanzhi Gaoshou Specials
37932,Quanzhi Gaoshou 2
38483,Ore wo Suki nano wa Omae dake ka yo
38659,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru
39535,Mushoku Tensei: Isekai Ittara Honki Dasu
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
40010,Ishuzoku Reviewers
40080,Quanzhi Gaoshou Zhi Dianfeng Rongyao
40729,Nomad: Megalo Box 2
40834,Ousama Ranking
40935,Beastars 2nd Season
41025,Fumetsu no Anata e
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
48316,Kage no Jitsuryokusha ni Naritakute!
48736,Sono Bisque Doll wa Koi wo Suru
49709,Fumetsu no Anata e Season 2
50360,Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu
51179,Mushoku Tensei II: Isekai Ittara Honki Dasu
52347,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su"
52991,Sousou no Frieren
53393,Tengoku Daimakyou
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season
10087,Fate/Zero
11757,Sword Art Online
12031,Kingdom
14513,Magi: The Labyrinth of Magic
16870,The Last: Naruto the Movie
17389,Kingdom 2nd Season
17895,Golden Time
18115,Magi: The Kingdom of Magic
18139,Tonari no Seki-kun
20785,Mahouka Koukou no Rettousei
20977,Tonari no Seki-kun OVA
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
24365,Tonari no Seki-kun Specials
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
30296,Rakudai Kishi no Cavalry
30813,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
31859,Hai to Gensou no Grimgar
32282,Shokugeki no Souma: Ni no Sara
34572,Black Clover
36474,Sword Art Online: Alicization
37210,Isekai Maou to Shoukan Shoujo no Dorei Majutsu
39195,Beastars
39196,Mairimashita! Iruma-kun
40496,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e"
40497,Mahouka Koukou no Rettousei: Raihousha-hen
40936,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set
41402,Mairimashita! Iruma-kun 2nd Season
42625,Heion Sedai no Idaten-tachi
42916,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria
51096,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season
20,Naruto
121,Fullmetal Alchemist
287,Grappler Baki (TV)
551,Grappler Baki: Saidai Tournament-hen
1735,Naruto: Shippuuden
3603,JoJo no Kimyou na Bouken: Phantom Blood
4224,Toradora!
6594,Katanagatari
8074,Highschool of the Dead
11741,Fate/Zero 2nd Season
14741,Chuunibyou demo Koi ga Shitai!
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
16934,Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel
18679,Kill la Kill
19469,Saiki Kusuo no Ψ-nan (ONA)
21659,Kill la Kill Specials
22535,Kiseijuu: Sei no Kakuritsu
28497,Rokka no Yuusha
31043,Boku dake ga Inai Machi
31327,Shokugeki no Souma OVA
32182,Mob Psycho 100
32379,Berserk
32485,Prison School: Mad Wax
32698,Monster Musume no Iru Nichijou OVA
32951,Rokudenashi Majutsu Koushi to Akashic Records
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA
34055,Berserk 2nd Season
34161,Overlord Movie 1: Fushisha no Ou
34428,Overlord Movie 2: Shikkoku no Eiyuu
34480,Shokugeki no Souma: Ni no Sara OVA
34984,Koi wa Ameagari no You ni
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou
36896,Boku no Hero Academia the Movie 1: Futari no Hero
37105,Grand Blue
37348,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya
37510,Mob Psycho 100 II
38249,Saiki Kusuo no Ψ-nan: Kanketsu-hen
38409,Cike Wu Liuqi
38472,Isekai Quartet
38656,Darwin's Game
39026,Dumbbell Nan Kilo Moteru?
39463,Gleipnir
39597,Sword Art Online: Alicization - War of Underworld
39651,Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi
39988,Isekai Quartet 2
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III
40540,Sword Art Online: Alicization - War of Underworld 2nd Season
40542,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen
40682,Kingdom 3rd Season
40784,Wu Liuqi Zhi Zui Qiang Fa Xing Shi
40904,Bokutachi no Remake
40908,Kemono Jihen
41226,Uzaki-chan wa Asobitai!
41456,"Sentouin, Hakenshimasu!"
41946,Shuumatsu no Harem
42340,Meikyuu Black Company
42351,Senpai ga Uzai Kouhai no Hanashi
44200,Boku no Hero Academia the Movie 3: World Heroes' Mission
45556,Wu Liuqi Zhi Xuanwu Guo Pian
46431,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku."
47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen
47257,Shinigami Bocchan to Kuro Maid
48171,Summer Ghost
48414,Sabikui Bisco
48556,Takt Op. Destiny
48643,Koi wa Sekai Seifuku no Ato de
49220,Isekai Ojisan
49776,Kumichou Musume to Sewagakari
49918,Boku no Hero Academia 6th Season
50172,Mob Psycho 100 III
50346,Yofukashi no Uta
51693,Kaminaki Sekai no Kamisama Katsudou
51958,Kono Subarashii Sekai ni Bakuen wo!
52211,Mashle
52976,Berserk: Ougon Jidai-hen - Memorial Edition
53149,Oemojisangjuui
53236,Road of Naruto
21,One Piece
2472,Naruto: Shippuuden Movie 1
4437,Naruto: Shippuuden Movie 2 - Kizuna
4898,Kuroshitsuji
6325,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono
8086,Densetsu no Yuusha no Densetsu
8246,Naruto: Shippuuden Movie 4 - The Lost Tower
9260,Kizumonogatari I: Tekketsu-hen
9515,Highschool of the Dead: Drifters of the Dead
9919,Ao no Exorcist
10589,Naruto: Shippuuden Movie 5 - Blood Prison
10719,Boku wa Tomodachi ga Sukunai
11553,Toradora!: Bentou no Gokui
11633,Blood Lad
13667,Naruto: Shippuuden Movie 6 - Road to Ninja
14345,Btooom!
15315,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?
15689,Nekomonogatari: Kuro
16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
18753,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA
21881,Sword Art Online II
22663,Seiken Tsukai no World Break
23755,Nanatsu no Taizai
24991,No Game No Life Specials
25013,Akatsuki no Yona
25157,Trinity Seven
27631,God Eater
27891,Sword Art Online II: Debriefing
28623,Koutetsujou no Kabaneri
28755,Boruto: Naruto the Movie
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
30307,Monster Musume no Iru Nichijou
30544,Gakusen Toshi Asterisk
30911,Tales of Zestiria the Cross
31338,Hundred
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season"
31757,Kizumonogatari II: Nekketsu-hen
31758,Kizumonogatari III: Reiketsu-hen
31765,Sword Art Online Movie: Ordinal Scale
32105,Sousei no Onmyouji
32365,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi
32801,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA
32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria
32900,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo
33372,Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki
33475,Busou Shoujo Machiavellianism
33506,Ao no Exorcist: Kyoto Fujouou-hen
34019,Tsugumomo
34403,Hajimete no Gal
34577,Nanatsu no Taizai: Imashime no Fukkatsu
34964,Killing Bites
35145,Kobayashi-san Chi no OO Dragon
35203,Isekai wa Smartphone to Tomo ni.
35314,"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou"
36616,Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha
38186,Bokutachi wa Benkyou ga Dekinai
38410,Cike Wu Liuqi Fanwai
38480,Toaru Kagaku no Accelerator
38671,Enen no Shouboutai
39017,Kyokou Suiri
39199,Katsute Kami Datta Kemono-tachi e
39470,Tsugumomo OVA
39575,Somali to Mori no Kamisama
39819,Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru
40064,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future
40221,Kami no Tou
40280,Toaru Kagaku no Accelerator: Tobidase Ippou-san - Hachamecha Kaishingeki
40750,Kaifuku Jutsushi no Yarinaoshi
40911,Yuukoku no Moriarty
40956,Enen no Shouboutai: Ni no Shou
40979,Yingxiong Zai Lin
41053,Dorohedoro: Ma no Omake
41094,Xian Wang de Richang Shenghuo
41380,100-man no Inochi no Ue ni Ore wa Tatteiru
41587,Boku no Hero Academia 5th Season
42266,Wu Dong Qian Kun 2nd Season
42519,Bokutachi wa Benkyou ga Dekinai!: Chapel no Kane wa [X] wo Shukufuku Suru
42962,Uzaki-chan wa Asobitai! Double
44074,Shiguang Dailiren
44406,Da Wang Rao Ming
44524,Isekai Meikyuu de Harem wo
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season
44942,Shuumatsu no Walküre
47790,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
48375,Mahouka Koukou no Rettousei: Tsuioku-hen
49235,86 Special Edition: Senya ni Akaku Hinageshi no Saku
49438,Isekai Yakkyoku
49550,Bokutachi no Remake Recap
49618,Shuumatsu no Walküre II
50175,"Yuusha, Yamemasu"
50273,Tomodachi Game
50461,Otome Game Sekai wa Mob ni Kibishii Sekai desu
50854,"Benriya Saitou-san, Isekai ni Iku"
51462,Isekai Nonbiri Nouka
52281,Isekai Meikyuu de Harem wo Specials
52305,Tomo-chan wa Onnanoko!
53446,Tondemo Skill de Isekai Hourou Meshi
54852,Kikansha no Mahou wa Tokubetsu desu
55818,Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz
1691,Kaze no Stigma
7148,Ladies versus Butlers!
8302,Ladies versus Butlers! Specials
9513,Beelzebub
10465,Manyuu Hikenchou
10845,Manyuu Hikenchou Specials
11763,Sekai de Ichiban Tsuyoku Naritai!
12413,Jormungand
12581,Asa made Jugyou Chu!
13161,Hagure Yuusha no Aesthetica
14833,Maoyuu Maou Yuusha
17247,Machine-Doll wa Kizutsukanai
18677,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.
18897,Nisekoi
20787,Black Bullet
24703,High School DxD BorN
27787,Nisekoi:
30250,Triage X: Recollection XOXO
31478,Bungou Stray Dogs
31737,Gakusen Toshi Asterisk 2nd Season
33478,UQ Holder!: Mahou Sensei Negima! 2
35237,Hajimete no Gal: Hajimete no Bunkasai
35860,Karakai Jouzu no Takagi-san
36407,Kenja no Mago
36726,Yuragi-sou no Yuuna-san
37806,Gunjou no Magmell
37926,Nakanohito Genome [Jikkyouchuu]
38192,Sakugan
38610,Tejina-senpai
38909,Infinite Dendrogram
39024,Wu Dong Qian Kun
40083,Arifureta Shokugyou de Sekai Saikyou Specials
40239,Arifureta Shokugyou de Sekai Saikyou Recap
40708,Monster Musume no Oishasan
40746,Overflow
41345,Noblesse
41488,Tensura Nikki: Tensei shitara Slime Datta Ken
41623,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω
42562,Kyokou Uranai
43690,Tenkuu Shinpan
43814,Deatte 5-byou de Battle
44037,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita"
45653,Soredemo Ayumu wa Yosetekuru
47398,Kimetsu Gakuen: Valentine-hen
48483,Mieruko-chan
48675,Kakkou no Iinazuke
48760,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu"
48997,Fantasy Bishoujo Juniku Ojisan to
49357,Star Wars: Visions
49520,Aharen-san wa Hakarenai
50425,"Fuufu Ijou, Koibito Miman."
50932,Saikyou Onmyouji no Isekai Tenseiki
51064,Kuro no Shoukanshi
51212,Futoku no Guild
51213,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu
51403,Renai Flops
52046,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau"
52830,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta"
53494,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta
47,Akira
591,Amaenaide yo!!
4744,Akaneiro ni Somaru Saka
6166,Asobi ni Iku yo!
7088,Ichiban Ushiro no Daimaou
9624,30-sai no Hoken Taiiku
11617,High School DxD
14467,K
15451,High School DxD New
15583,Date A Live
19769,Mahou Sensou
20545,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA
23233,Shinmai Maou no Testament
25397,Absolute Duo
26443,Triage X
29786,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
31722,Nanatsu no Taizai: Seisen no Shirushi
33988,Demi-chan wa Kataritai
34213,Getsuyoubi no Tawawa
39324,"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai."
39701,Nanatsu no Taizai: Kamigami no Gekirin
40436,Peter Grill to Kenja no Jikan
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA
41491,Nanatsu no Taizai: Fundo no Shinpan
42990,Dogeza de Tanondemita: Isekai-hen
44276,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara
44983,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA
48415,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru"
49854,Getsuyoubi no Tawawa 2
50348,Peter Grill to Kenja no Jikan: Super Extra
50953,Bastard!! Ankoku no Hakaishin (ONA)
51837,Saikin Yatotta Maid ga Ayashii
53439,Boushoku no Berserk
53613,Dead Mount Death Play
15133,Aoi Sekai no Chuushin de
19163,Date A Live II
30385,Valkyrie Drive: Mermaid
34497,Death March kara Hajimaru Isekai Kyousoukyoku
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II
37744,Isekai Cheat Magician
38843,Shironeko Project: Zero Chronicle
39523,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!
41899,Ore dake Haireru Kakushi Dungeon
4196,Ikkitousen: Great Guardians
17265,Log Horizon
23321,Log Horizon 2nd Season
24531,Ane Log: Moyako Neesan no Tomaranai Monologue
38297,"Maou-sama, Retry!"
38572,Assassins Pride
39030,Hataage! Kemono Michi
40594,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari
47163,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita"
257,Ikkitousen
9936,Maken-Ki!
31845,Masou Gakuen HxH
34447,Masou Gakuen HxH Specials
42571,Dogeza de Tanondemita
44203,Seirei Gensouki
48761,Saihate no Paladin
527,Pokemon
6702,Fairy Tail
6987,Aki-Sora
8577,Aki-Sora: Yume no Naka
15729,Hagure Yuusha no Aesthetica: Hajirai Ippai
29027,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou
30365,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou
30782,Bikini Warriors
31491,Hantsu x Trash
33712,Bikini Warriors OVA
34566,Boruto: Naruto Next Generations
37021,Iya na Kao sare nagara Opantsu Misete Moraitai
38163,Iya na Kao sare nagara Opantsu Misete Moraitai 2
38397,Nande Koko ni Sensei ga!?
38830,"Hachi-nan tte, Sore wa Nai deshou!"
40074,Gibiate
52973,Megami no Café Terrace
1,Cowboy Bebop
6,Trigun
269,Bleach
392,Yuu☆Yuu☆Hakusho
777,Hellsing Ultimate
918,Gintama
1482,D.Gray-man
5081,Bakemonogatari
11771,Kuroko no Basket
17729,Grisaia no Kajitsu
18671,Chuunibyou demo Koi ga Shitai! Ren
24833,Ansatsu Kyoushitsu
35557,Houseki no Kuni (TV)
35737,Pluto
39940,Shokugeki no Souma: Shin no Sara
40056,Deca-Dence
40060,BNA
43439,Shadows House
47159,Tensai Ouji no Akaji Kokka Saisei Jutsu
